game_id,home_yards_gained,away_yards_gained,home_interception,away_interception,home_fumble_forced,away_fumble_forced,home_fumble_not_forced,away_fumble_not_forced,home_fumble_out_of_bounds,away_fumble_out_of_bounds,home_solo_tackle,away_solo_tackle,home_safety,away_safety,home_penalty,away_penalty,home_qb_hit,away_qb_hit,home_rush_attempt,away_rush_attempt,home_pass_attempt,away_pass_attempt,home_fumble,away_fumble,home_complete_pass,away_complete_pass,home_assist_tackle,away_assist_tackle,home_sack,away_sack,home_touchdown,away_touchdown,home_pass_touchdown,away_pass_touchdown,home_rush_touchdown,away_rush_touchdown,home_return_touchdown,away_return_touchdown,home_extra_point_attempt,away_extra_point_attempt,home_two_point_attempt,away_two_point_attempt,home_field_goal_attempt,away_field_goal_attempt,home_kickoff_attempt,away_kickoff_attempt,home_punt_attempt,away_punt_attempt,home_punts_blocked,away_punts_blocked,home_first_down_rush,away_first_down_rush,home_first_down_pass,away_first_down_pass,home_first_down_penalty,away_first_down_penalty,home_third_down_converted,away_third_down_converted,home_third_down_failed,away_third_down_failed,home_fourth_down_converted,away_fourth_down_converted,home_fourth_down_failed,away_fourth_down_failed,home_incomplete_pass,away_incomplete_pass,home_touchback,away_touchback,Winner,score_difference
2009091309,299.0,203.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,45.0,42.0,0.0,0.0,12.0,4.0,8.0,5.0,17.0,25.0,47.0,35.0,1.0,1.0,26.0,18.0,8.0,9.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,4.0,6.0,8.0,0.0,0.0,1.0,1.0,13.0,13.0,3.0,3.0,4.0,4.0,10.0,10.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,A,-4
2009091310,351.0,272.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,33.0,30.0,0.0,0.0,7.0,1.0,2.0,4.0,31.0,21.0,30.0,29.0,2.0,3.0,20.0,19.0,22.0,17.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,4.0,6.0,1.0,5.0,0.0,0.0,5.0,5.0,11.0,11.0,2.0,2.0,6.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,H,6
2009091311,446.0,247.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,44.0,36.0,0.0,0.0,2.0,12.0,2.0,7.0,34.0,18.0,36.0,39.0,1.0,3.0,25.0,17.0,14.0,7.0,0.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,8.0,0.0,0.0,6.0,6.0,17.0,17.0,2.0,2.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,H,28
2009091312,228.0,352.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,1.0,0.0,5.0,4.0,9.0,4.0,22.0,31.0,33.0,38.0,0.0,0.0,17.0,17.0,8.0,16.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,6.0,6.0,4.0,0.0,0.0,4.0,4.0,8.0,8.0,0.0,0.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,H,6
2009091400,441.0,276.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,35.0,20.0,0.0,0.0,6.0,9.0,6.0,7.0,23.0,19.0,56.0,29.0,0.0,3.0,39.0,15.0,29.0,22.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,5.0,5.0,1.0,4.0,0.0,0.0,4.0,4.0,22.0,22.0,2.0,2.0,10.0,10.0,6.0,6.0,0.0,0.0,2.0,2.0,13.0,13.0,0.0,0.0,H,1
2009091401,366.0,317.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.0,43.0,0.0,0.0,8.0,7.0,1.0,5.0,32.0,23.0,33.0,39.0,2.0,1.0,14.0,24.0,12.0,12.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,8.0,8.0,9.0,9.0,2.0,2.0,7.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0,A,-4
2009092000,371.0,440.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,53.0,35.0,0.0,0.0,7.0,5.0,0.0,4.0,37.0,25.0,27.0,42.0,1.0,2.0,21.0,25.0,6.0,11.0,0.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,12.0,12.0,1.0,1.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,H,8
2009092001,265.0,265.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,58.0,39.0,0.0,0.0,7.0,4.0,2.0,7.0,34.0,25.0,32.0,31.0,2.0,2.0,18.0,24.0,5.0,12.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,8.0,7.0,7.0,2.0,2.0,5.0,5.0,8.0,8.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,A,-14
2009092002,311.0,319.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,42.0,37.0,0.0,0.0,9.0,15.0,10.0,4.0,18.0,34.0,45.0,25.0,2.0,2.0,21.0,15.0,11.0,13.0,6.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,6.0,5.0,6.0,4.0,0.0,0.0,5.0,5.0,13.0,13.0,4.0,4.0,6.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,A,-7
2009092003,372.0,383.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,46.0,46.0,0.0,0.0,8.0,7.0,3.0,1.0,20.0,28.0,47.0,32.0,6.0,3.0,23.0,27.0,3.0,2.0,4.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,4.0,4.0,3.0,0.0,0.0,4.0,4.0,13.0,13.0,1.0,1.0,6.0,6.0,10.0,10.0,1.0,1.0,1.0,1.0,19.0,19.0,0.0,0.0,A,-14
