game_id,Winner,score_difference
2010101706,H,14
2010101708,A,-25
2010101707,A,-3
2010101709,A,-4
2010101710,H,8
2010101711,H,3
2010101712,A,-3
2010101800,A,-27
2010102400,H,7
2010102401,A,-1
2010102402,H,3
2010102403,H,22
2010102404,A,-13
2010102405,A,-3
2010102406,H,3
2010102408,H,18
2010102407,H,1
2010102409,H,12
2010102410,A,-3
2010102411,A,-45
2010102412,H,4
2010102500,A,-6
2010103100,H,8
2010103101,A,-18
2010103102,A,-8
2010103103,H,3
2010103104,H,12
2010103105,H,10
2010103106,A,-9
2010103107,H,8
2010103108,H,10
2010103109,A,-3
2010103110,H,30
2010103111,H,10
2010110100,H,13
2010110700,A,-3
2010110701,H,16
2010110702,H,20
2010110703,A,-6
2010110704,A,-3
2010110705,H,3
2010110706,H,6
2010110707,A,-31
2010110708,A,-34
2010110709,H,2
2010110710,H,3
2010110711,H,38
2010110800,A,-6
2010111100,H,5
2010111406,H,2
2010111405,H,15
2010111403,H,7
2010111402,H,6
2010111401,A,-6
2010111400,H,12
2010111404,H,14
2010111407,H,20
2010111410,H,3
2010111409,A,-18
2010111408,A,-13
2010111411,A,-13
2010111500,A,-31
2010111800,A,-16
2010112100,A,-24
2010112109,H,18
2010112108,A,-3
2010112106,A,-28
2010112105,H,16
2010112104,H,4
2010112101,H,3
2010112102,A,-18
2010112103,H,32
2010112110,A,-17
2010112107,H,15
2010112111,A,-21
2010112112,H,3
2010112113,H,10
2010112200,H,21
2010112500,A,-21
2010112501,A,-3
2010112502,H,16
2010112803,A,-4
2010112807,H,1
2010112801,A,-3
2010112800,H,4
2010112802,H,20
2010112805,H,3
2010112808,A,-18
2010112809,A,-16
2010112806,H,7
2010112804,H,5
2010112810,A,-3
2010112811,A,-22
2010112900,A,-21
2010120200,H,10
2010120500,H,24
2010120508,A,-4
2010120506,H,18
2010120505,A,-4
2010120504,H,24
2010120503,H,4
2010120502,A,-11
2010120501,A,-3
2010120509,A,-15
2010120512,H,17
2010120511,A,-13
2010120510,A,-3
2010120507,A,-4
2010120513,A,-3
2010120600,H,42
2010120900,A,-2
2010121203,H,7
2010121207,A,-21
2010121201,H,7
2010121202,H,16
2010121204,A,-1
2010121205,H,4
2010121208,H,18
2010121209,H,19
2010121200,A,-29
2010121212,H,31
2010121211,H,30
2010121210,A,-4
2010121213,A,-3
2010121301,A,-18
2010121300,A,-6
2010121600,H,27
2010121900,A,-14
2010121909,H,6
2010121908,A,-3
2010121907,H,7
2010121906,A,-7
2010121901,A,-3
2010121902,H,2
2010121903,H,10
2010121904,H,14
2010121905,H,3
2010121910,A,-16
2010121912,H,16
2010121911,A,-5
2010121913,H,4
2010122000,A,-26
2010122300,H,24
2010122500,H,1
2010122602,A,-10
2010122603,H,20
2010122601,A,-31
2010122600,H,4
2010122606,H,8
2010122608,A,-3
2010122607,A,-7
2010122609,H,1
2010122610,A,-5
2010122612,H,14
2010122611,H,28
2010122605,H,23
2010122700,A,-3
2010122800,A,-10
2011010211,H,21
2011010203,A,-32
2011010209,H,7
2011010202,H,6
2011010200,H,31
2011010201,H,31
2011010206,A,-21
2011010212,A,-10
2011010210,H,7
2011010208,A,-3
2011010205,H,3
2011010204,H,17
2011010207,A,-1
2011010213,A,-5
2011010214,H,31
2011010215,H,10
2011090800,H,8
2011091100,H,28
2011091107,A,-18
2011091106,A,-7
2011091105,H,18
2011091104,A,-34
2011091103,H,2
2011091102,H,27
2011091101,A,-10
2011091111,H,7
2011091110,H,16
2011091109,H,7
2011091108,H,14
2011091112,H,3
2011091200,A,-14
2011091201,A,-3
2011091800,H,45
2011091801,H,3
2011091809,H,24
2011091808,H,17
2011091807,A,-7
2011091806,A,-4
2011091805,H,1
2011091802,H,13
2011091803,H,29
2011091804,A,-8
2011091810,A,-3
2011091811,H,14
2011091813,A,-10
2011091812,H,2
2011091814,H,4
2011091900,H,12
2011092500,H,6
2011092501,H,7
2011092507,A,-5
2011092506,A,-3
2011092505,A,-13
2011092504,H,3
2011092503,H,1
2011092502,H,3
2011092508,H,10
2011092510,A,-30
2011092509,H,3
2011092513,H,3
2011092512,H,3
2011092511,A,-10
2011092514,A,-3
2011092600,H,2
2011100200,H,3
2011100201,A,-18
2011100208,H,5
2011100207,A,-13
2011100206,A,-7
2011100205,H,5
2011100204,A,-1
2011100203,A,-4
2011100202,H,7
2011100210,A,-2
2011100209,A,-4
2011100213,H,10
2011100212,A,-12
2011100211,H,26
2011100214,H,17
2011100300,H,7
2011100900,H,21
2011100901,A,-5
2011100902,A,-4
2011100903,A,-10
2011100904,A,-11
2011100905,H,24
2011100906,A,-3
2011100907,H,7
2011100908,H,45
2011100909,H,9
2011100910,A,-5
2011100911,A,-11
2011101000,H,11
2011101600,H,3
2011101601,H,10
2011101602,H,4
2011101603,A,-7
2011101604,A,-6
2011101605,H,21
2011101606,H,14
2011101607,H,7
2011101608,H,15
2011101609,H,6
2011101610,H,4
2011101611,H,29
2011101700,H,18
2011102300,A,-3
2011102301,H,6
2011102302,A,-34
2011102303,A,-7
2011102304,H,13
2011102305,A,-6
2011102306,H,3
2011102307,A,-12
2011102308,A,-28
2011102309,A,-6
2011102310,H,27
2011102311,H,55
2011102400,H,5
2011103000,H,3
2011103001,H,10
2011103002,H,17
2011103003,A,-3
2011103004,H,10
2011103005,H,3
2011103006,A,-35
2011103007,H,23
2011103008,H,8
2011103009,H,10
2011103010,A,-22
2011103011,H,27
2011103100,H,3
2011110600,A,-16
2011110601,H,18
2011110602,A,-28
2011110603,H,10
2011110604,A,-8
2011110605,H,11
2011110606,A,-24
2011110607,A,-14
2011110608,A,-7
2011110609,A,-4
2011110610,A,-7
2011110611,H,6
2011110612,A,-3
2011110700,A,-6
2011111000,A,-7
2011111300,H,37
2011111310,A,-1
2011111309,H,11
2011111308,A,-3
2011111306,A,-4
2011111301,A,-27
2011111302,A,-28
2011111303,A,-7
2011111304,A,-14
2011111305,A,-7
2011111311,H,5
2011111307,H,24
2011111312,H,7
2011111313,A,-21
2011111400,H,38
2011111700,H,4
2011112000,A,-6
2011112005,A,-3
2011112007,H,9
2011112006,H,14
2011112004,H,7
2011112003,H,4
2011112002,H,27
2011112009,A,-17
2011112008,H,16
2011112010,H,11
2011112001,H,6
2011112011,A,-7
2011112100,H,31
2011112400,A,-12
2011112401,H,1
2011112402,H,10
2011112703,H,10
2011112702,A,-7
2011112701,H,3
2011112700,H,4
2011112704,A,-3
2011112706,H,6
2011112705,A,-8
2011112707,A,-6
2011112708,H,5
2011112709,A,-18
2011112710,A,-3
2011112711,A,-4
2011112800,H,25
2011120100,H,17
2011120400,A,-15
2011120413,H,7
2011120409,A,-3
2011120408,H,7
2011120407,A,-19
2011120405,H,28
2011120401,A,-7
2011120402,A,-6
2011120403,H,20
2011120404,A,-14
2011120412,H,26
2011120411,H,6
2011120410,A,-3
2011120406,H,14
2011120500,A,-24
2011120800,H,11
2011121100,A,-7
2011121109,A,-5
2011121108,H,27
2011121107,A,-16
2011121106,A,-8
2011121105,H,6
2011121102,H,27
2011121103,A,-1
2011121104,H,14
2011121111,H,3
2011121110,H,2
2011121112,H,27
2011121101,H,30
2011121113,A,-3
2011121200,H,17
2011121500,H,27
2011121700,A,-16
2011121802,H,14
2011121803,A,-13
2011121804,A,-24
2011121801,A,-7
2011121800,A,-7
2011121805,A,-22
2011121807,H,5
2011121806,A,-15
2011121808,A,-1
2011121809,H,26
2011121810,H,3
2011121811,A,-18
2011121812,H,20
2011121900,H,17
2011122200,H,3
2011122400,H,26
2011122409,H,27
2011122408,H,7
2011122407,H,32
2011122406,A,-7
2011122401,H,3
2011122402,H,6
2011122403,H,6
2011122404,A,-3
2011122405,A,-15
2011122410,H,28
2011122412,A,-2
2011122411,A,-13
2011122500,H,14
2011122600,H,29
2012010100,H,2
2012010101,H,28
2012010112,A,-7
2012010111,H,28
2012010109,A,-4
2012010108,H,4
2012010107,H,24
2012010105,H,6
2012010104,A,-1
2012010110,H,21
2012010114,A,-12
2012010113,A,-4
2012010103,A,-4
2012010102,A,-8
2012010115,H,3
2012010106,H,17
2012090500,A,-7
2012090900,H,20
2012090908,A,-16
2012090907,A,-1
2012090906,A,-8
2012090905,H,4
2012090904,A,-21
2012090901,H,3
2012090902,H,20
2012090903,H,20
2012090910,H,4
2012090909,A,-8
2012090911,H,6
2012090912,H,12
2012091000,H,31
2012091001,A,-8
2012091300,H,13
2012091600,H,7
2012091612,H,22
2012091607,A,-20
2012091606,H,7
2012091605,H,18
2012091604,H,1
2012091601,H,8
2012091602,A,-2
2012091603,H,3
2012091609,H,3
2012091608,H,20
2012091610,H,17
2012091611,H,28
2012091613,H,8
2012091700,H,6
2012092000,A,-29
2012092300,H,6
2012092308,A,-5
2012092307,A,-10
2012092306,A,-3
2012092305,A,-3
2012092304,A,-7
2012092301,H,17
2012092302,H,11
2012092303,H,3
2012092310,A,-24
2012092309,H,21
2012092312,H,3
2012092311,A,-6
2012092313,H,1
2012092400,H,2
2012092700,H,7
2012093000,A,-24
2012093006,A,-34
2012093005,H,6
2012093004,H,2
2012093003,A,-7
2012093002,A,-17
2012093001,H,24
2012093009,A,-17
2012093008,H,31
2012093007,H,3
2012093011,A,-2
2012093010,H,1
2012093012,H,2
2012100100,A,-16
2012100400,H,14
2012100701,H,2
2012100702,H,3
2012100703,H,14
2012100700,A,-7
2012100705,A,-4
2012100706,A,-3
2012100707,A,-4
2012100708,A,-38
2012100709,H,10
2012100710,H,42
2012100704,H,23
2012100711,H,7
2012100800,A,-6
2012101100,H,3
2012101401,H,28
2012101402,H,26
2012101403,H,10
2012101404,A,-3
2012101400,H,3
2012101405,H,3
2012101406,H,2
2012101407,A,-3
2012101408,H,1
2012101409,A,-23
2012101410,H,12
2012101411,A,-18
2012101500,A,-11
2012101800,H,7
2012102101,H,7
2012102102,A,-5
2012102103,A,-7
2012102104,A,-10
2012102100,H,4
2012102105,H,30
2012102107,A,-1
2012102106,H,4
2012102108,H,3
2012102109,H,3
2012102110,A,-7
2012102200,H,6
2012102500,A,-19
2012102801,A,-21
2012102802,H,1
2012102803,A,-6
2012102804,A,-38
2012102800,H,9
2012102805,A,-13
2012102808,H,15
2012102807,H,4
2012102806,H,1
2012102809,A,-10
2012102810,A,-5
2012102811,H,20
2012102900,A,-21
2012110100,H,18
2012110401,H,14
2012110402,A,-17
2012110403,A,-31
2012110404,A,-8
2012110400,A,-8
2012110405,A,-10
2012110407,H,3
2012110406,H,12
2012110408,H,10
2012110409,A,-10
2012110410,A,-4
2012110411,H,6
2012110500,H,15
2012110800,A,-17
2012111101,H,10
2012111102,A,-34
2012111103,H,6
2012111104,H,35
2012111100,A,-22
2012111105,H,18
2012111107,H,10
2012111106,H,4
2012111108,H,21
2012111109,A,-15
2012111110,A,0
2012111111,A,-7
2012111200,H,3
2012111500,H,5
2012111801,A,-4
2012111802,H,4
2012111803,A,-6
2012111804,H,3
2012111800,H,25
2012111805,A,-14
2012111808,A,-22
2012111807,H,6
2012111809,A,-21
2012111810,H,7
2012111806,H,35
2012111811,A,-3
2012111900,H,25
2012112200,A,-3
2012112201,A,-7
2012112202,A,-30
2012112503,H,5
2012112502,H,7
2012112501,H,6
2012112500,H,24
2012112504,A,-8
2012112507,H,3
2012112506,A,-1
2012112505,H,18
2012112508,A,-3
2012112510,A,-14
2012112509,A,-10
2012112511,H,28
2012112600,A,-8
2012112900,H,10
2012120200,A,-6
2012120208,A,-14
2012120207,A,-7
2012120206,H,16
2012120205,A,-2
2012120204,H,6
2012120201,H,9
2012120202,H,3
2012120203,H,1
2012120209,H,8
2012120210,A,-3
2012120212,A,-7
2012120211,A,-3
2012120213,H,5
2012120300,H,1
2012120600,A,-13
2012120900,H,3
2012120909,A,-1
2012120908,A,-3
2012120907,A,-2
2012120906,H,10
2012120901,H,23
2012120902,A,-10
2012120903,H,4
2012120904,A,-7
2012120905,H,7
2012120910,H,14
2012120912,H,58
2012120911,H,25
2012120913,H,7
2012121000,H,28
2012121300,A,-21
2012121600,A,-8
2012121607,H,12
2012121606,A,-17
2012121605,H,21
2012121604,A,-17
2012121603,A,-14
2012121602,H,41
2012121601,H,34
2012121610,A,-33
2012121609,A,-24
2012121608,H,28
2012121612,H,15
2012121611,H,3
2012121613,A,-7
2012121700,H,4
2012122200,A,-13
2012122301,H,11
2012122302,H,14
2012122303,A,-3
2012122304,A,-7
2012122305,A,-7
2012122306,A,-3
2012122307,A,-7
2012122308,A,-15
2012122314,A,-10
2012122300,H,48
2012122310,A,-17
2012122311,H,22
2012122312,A,-15
2012122309,H,19
2012122313,H,29
2012123010,A,-5
2012123000,H,19
2012123002,H,6
2012123003,H,14
2012123008,A,-2
2012123005,H,18
2012123006,H,35
2012123011,A,-6
2012123004,H,12
2012123009,H,3
2012123015,H,7
2012123001,H,28
2012123012,H,35
2012123013,H,3
2012123014,H,14
2012123007,H,10
2013090500,H,22
2013090800,A,-2
2013090809,A,-7
2013090808,H,6
2013090807,H,1
2013090806,A,-26
2013090801,A,-5
2013090802,H,3
2013090803,A,-13
2013090804,H,10
2013090805,H,4
2013090811,H,6
2013090810,H,3
2013090812,H,5
2013090900,A,-6
2013090901,A,-3
2013091200,H,3
2013091500,H,7
2013091508,A,-3
2013091507,H,1
2013091506,A,-4
2013091505,H,6
2013091504,H,18
2013091501,H,8
2013091502,H,1
2013091503,H,1
2013091510,A,-2
2013091509,H,4
2013091512,H,10
2013091511,A,-18
2013091513,H,26
2013091600,H,10
2013091900,A,-10
